"ANO","NIVEL","CODMUNRES","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50","IDHM_A","IDHM_CA","IDHM_CA_M","IDHM_CA_F","TN","TNRC","TNRCR","TGI_15","TGI_15_19","TGI_20_24","TGI_25_29","TGI_30_34","TGI_35_39","TGI_40_44","TGI_45_49","TGI_50","TGIF","IM_P25","IM_P50","IM_P75","IM_MD","IM_DP","EM_S","EM_FI","EM_FII","EM_M","EM_SI","EM_SC","TGRC_B","TGRC_PT","TGRC_A","TGRC_PD","TGRC_I","TGSC","TGCC","TGPRI","TGNPRI","TGU","TGG","TGD_22","TGD_22_27","TGD_28_31","TGD_32_36","TGD_37_41","TGD_42","TGD_PRT","TGD_AT","TGD_PST","DG_P25","DG_P50","DG_P75","DG_MD","DG_DP","TKC_NR","TKC_ID","TKC_IT","TKC_AD","TKC_MAD","TGPRG_S","TGPRG_N","TPV","TPC","TRAP_C","TRAP_P","TRAP_T","TGROB_1","TGROB_2","TGROB_3","TGROB_4","TGROB_5","TGROB_6","TGROB_7","TGROB_8","TGROB_9","TGROB_10","TNLOC_H","TNLOC_ES","TNLOC_D","TNLOC_O","TNLOC_AI","TRS_M","TRS_F","TRRC_B","TRRC_PT","TRRC_A","TRRC_PD","TRRC_I","TRP_BP","TRP_N","TRP_M","PESO_P25","PESO_P50","PESO_P75","PESO_MD","PESO_DP","TRPIG_P","TRPIG_A","TRPIG_G","TRAPG5_B","TRAPG5_N","APG5_MD","APG5_DP","TRAC","TRSAC","TO","TORC","TORCR","TO_NN","TO_N","TO_CB_I","TO_CB_N","TO_CB_C","TO_CB_R","TO_CB_O","TO_M","TO_F","TO_F_IF","TO_FT","TO_NT","TO_NT_P","TO_NT_T","TO_PNT","TO_MT_G","TONT_B","TONT_PT","TONT_A","TONT_PD","TONT_I","TO_MT","TO_MT_DG","TO_MT_PT","TO_MT_AB","TO_MT_42","TO_MT_43","TO_MT_P","TO_MT_P_I","TO_MT_P_ES","TO_MT_P_EFI","TO_MT_P_EFII","TO_MT_P_EM","TO_MT_P_ESI","TO_MT_P_ESC","POPR_RA","POPR_RE"
2015,"MUNICIPIO",1100700,14220,12665,6768,5897,3942,6900,1823,1947,3218,732,NA,0.593,NA,NA,156,0,124,2,25,60,38,21,9,1,0,0,154,20.75,23,28,24.67,5.64,0,28,42,64,6,7,38,4,3,93,1,34,120,0,0,155,0,0,0,1,9,124,10,10,124,10,38,39,40,38.92,2.06,1,25,16,17,81,156,0,24,131,139,6,1,19,24,15,18,41,2,4,0,1,10,72,83,0,1,0,88,68,43,4,3,96,1,6,142,8,2993.75,3237.5,3515,3233.94,458.14,8,119,12,155,0,9.7,0.54,4,150,43,0,0,9,34,1,7,9,8,9,32,11,0,0,0,0,0,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3785,NA
2015,"MUNICIPIO",1100809,24155,19779,10320,9459,6201,10686,2892,3046,5192,1221,NA,0.649,NA,NA,323,0,252,5,84,90,80,41,18,5,0,0,318,19,24,28,24.15,6.33,3,31,139,122,9,15,32,9,2,265,0,150,168,0,0,317,4,0,1,5,33,249,7,39,249,7,38,39,40,38.5,2.32,0,64,17,13,106,321,2,154,167,308,12,0,72,21,84,9,63,4,6,4,0,31,311,8,1,3,0,164,159,32,9,2,266,0,31,265,27,2950,3275,3650,3243.32,654.68,24,219,47,315,0,9.15,0.71,4,313,111,0,0,37,74,3,14,14,8,35,81,30,0,0,0,0,0,8,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12619,NA
2015,"MUNICIPIO",1100908,3617,3575,1829,1746,916,1928,731,466,940,340,NA,0.658,NA,NA,52,0,50,0,13,13,15,8,2,1,0,0,52,19.75,24,29,24.77,5.91,0,0,16,24,3,7,16,4,2,29,0,6,46,0,0,52,0,0,0,0,4,47,1,4,47,1,38,39,39.25,38.58,1.88,0,7,6,7,29,52,0,11,41,51,1,0,17,3,7,2,18,1,0,0,0,4,52,0,0,0,0,23,29,16,4,2,29,0,2,49,1,2956.25,3280,3531.25,3220.33,446.91,2,44,5,52,0,8.88,0.65,0,51,17,0,0,3,14,1,0,6,1,6,13,4,0,0,0,0,0,1,NA,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,727,NA
2015,"MUNICIPIO",1100056,17986,17029,8551,8478,4227,9656,3146,2060,4889,1529,NA,0.692,NA,NA,277,0,260,2,39,87,74,50,21,4,0,0,275,21,25,30,25.85,5.95,0,14,68,116,35,34,108,8,0,148,0,113,159,0,0,267,9,0,0,1,13,251,3,14,251,3,38,39,40,38.74,1.41,0,37,18,32,171,159,118,64,213,252,8,0,64,33,37,14,86,3,3,9,0,10,275,2,0,0,0,129,148,113,8,0,153,0,17,248,12,2945,3255,3530,3226.13,457.45,17,229,21,276,0,9.2,0.89,2,275,80,0,0,12,68,0,12,27,5,24,48,32,0,0,1,1,0,0,NA,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,9161,NA
2015,"MUNICIPIO",1100924,10129,8301,4415,3886,2509,4732,1060,1223,2240,423,NA,0.652,NA,NA,154,0,150,3,38,39,42,23,4,4,1,0,151,19,24,28.75,24.42,6.53,0,16,51,65,5,13,41,8,1,97,4,107,46,0,0,154,0,0,0,1,6,145,1,7,145,1,38,39,40,38.82,1.67,0,32,10,15,87,151,3,43,111,143,2,0,40,7,33,1,56,0,2,0,0,6,152,1,0,1,0,87,67,43,8,1,97,5,10,136,8,3030,3275,3567.5,3255.3,511.5,10,129,14,154,0,9.29,0.8,1,152,42,0,0,10,32,2,3,12,4,11,28,14,0,0,0,0,0,5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
2015,"MUNICIPIO",1100064,18817,18591,9330,9261,4445,10329,3817,2185,5193,1883,NA,0.685,NA,NA,251,0,246,0,44,66,63,55,20,2,1,0,251,21,26,30,25.87,6.18,1,8,51,117,22,50,76,5,2,167,0,118,131,0,0,246,5,0,0,1,18,226,5,19,226,5,38,39,39,38.49,1.77,0,33,15,12,186,244,7,67,184,233,5,0,71,18,50,10,68,4,1,5,0,10,251,0,0,0,0,138,113,76,5,2,167,0,20,222,9,2865,3200,3487.5,3139.75,554.64,19,215,16,251,0,9.3,0.61,2,249,88,0,0,14,74,2,16,26,10,20,59,29,0,0,0,0,0,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13686,NA
2015,"MUNICIPIO",1100072,8842,8783,4711,4072,2281,4995,1507,1078,2329,665,NA,0.613,NA,NA,111,0,102,1,22,35,26,19,7,1,0,0,110,20,24,29,25.02,6.27,0,13,41,38,5,9,31,5,0,69,0,48,63,0,0,111,0,0,0,0,1,105,1,1,105,1,38,39,40,38.95,1.03,0,14,5,12,75,110,1,26,85,97,1,2,23,13,23,2,34,1,0,0,2,1,111,0,0,0,0,62,49,34,5,0,69,0,5,104,2,3010,3320,3537.5,3250.1,425.94,9,94,4,111,0,9.28,0.56,1,110,42,0,0,11,31,1,9,10,5,6,31,11,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1744,NA
2015,"MUNICIPIO",1100080,16651,13678,7202,6476,4605,7276,1797,2266,3413,797,NA,0.611,NA,NA,245,0,218,4,75,69,55,26,13,3,0,0,241,19,22,28,23.59,6.19,1,27,104,86,9,14,41,16,1,165,4,67,166,0,0,242,2,0,2,1,26,202,12,29,202,12,38,39,40,38.73,2.34,0,56,15,26,134,193,52,89,155,234,5,1,63,7,66,4,64,1,4,2,1,28,244,1,0,0,0,133,112,41,16,1,165,4,16,215,14,3000,3280,3620,3278.14,515.44,17,188,33,244,0,8.79,0.9,1,239,66,0,0,16,50,2,2,22,6,18,40,26,0,0,0,0,0,7,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2741,NA
2015,"MUNICIPIO",1100940,20974,15854,8456,7398,5124,8810,1920,2474,4156,768,NA,0.612,NA,NA,274,0,210,1,72,89,58,38,10,5,1,0,273,19,23,28,24.14,6.13,2,32,104,84,6,8,44,11,1,175,0,100,170,0,0,270,4,0,0,1,21,237,9,22,237,9,38,39,40,38.95,1.83,0,40,21,18,92,259,15,93,181,229,8,0,45,29,48,13,69,2,6,4,0,16,247,19,0,8,0,156,118,62,12,1,190,0,17,244,13,2962.5,3263,3558.5,3232.08,531.03,20,227,18,271,0,9.34,0.59,2,265,50,0,0,11,39,4,8,7,1,19,37,13,0,0,0,0,0,4,NA,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2096,NA
2015,"MUNICIPIO",1100098,32385,28729,14606,14123,7699,16309,4721,3816,8031,2276,NA,0.672,NA,NA,548,0,465,1,102,175,130,98,34,8,0,0,547,21,24,30,25.17,6.03,3,54,187,183,24,66,197,29,0,284,31,70,439,0,0,547,0,1,1,5,40,412,31,47,412,31,38,39,40,38.7,2.31,0,117,42,51,325,123,425,82,465,542,5,0,26,6,75,2,329,1,4,0,0,46,545,1,1,1,0,295,253,197,29,0,284,31,27,487,34,3050,3299.5,3595,3300.75,481.84,31,374,67,546,0,9,0.68,0,547,149,0,0,20,129,1,22,31,15,60,87,62,0,0,0,0,0,8,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12611,NA
